"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 1.4.6 Street robbery"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"overcropping";"0";"1";"0";"0";"0";"2";"1";"0";"0";"0";"0"
"crout";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Emer";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0"
"Hagebeemd";"0";"0";"2";"0";"2";"1";"0";"0";"0";"0";"0"
"Bavel";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Bavel";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"New Wolfslaar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outside area Bavel";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Ulven wood";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Ulven wood";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Outer area of ​​Ulvenhout";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Prinsenbeek";"1";"1";"4";"0";"0";"1";"1";"0";"0";"1";"0"
"Prinsenbeek";"1";"1";"4";"0";"0";"1";"0";"0";"0";"1";"0"
"Outlying area Prinsenbeek";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Teterings";"1";"2";"0";"0";"1";"0";"0";"0";"2";"0";"1"
"Teterings";"0";"1";"0";"0";"1";"0";"0";"0";"2";"0";"1"
"Vechtpolder";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outer area of ​​Teteringen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bron: Politie"
