"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 1.4.2 Murder, Manslaughter"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Breda south-east";"2";"0";"0";"1";"3";"2";"6";"4";"1";"2";"7"
"Blue Boulder";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"Ypelaar";"1";"0";"0";"0";"1";"2";"4";"1";"0";"0";"1"
"Overakker";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Ginneken";"1";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Mastbos";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"6"
"Breda south";"1";"0";"1";"1";"1";"1";"0";"1";"0";"3";"0"
"Buoy lake";"1";"0";"1";"1";"0";"0";"0";"1";"0";"3";"0"
"Riders forest";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Breda west";"10";"7";"6";"9";"11";"13";"15";"12";"9";"8";"10"
"Haagpoort";"0";"0";"0";"0";"0";"2";"4";"0";"0";"0";"1"
"Hill";"2";"2";"0";"2";"1";"3";"2";"2";"2";"2";"0"
"Garden zigt";"4";"2";"2";"4";"2";"2";"3";"6";"3";"1";"3"
"Princenhage";"1";"1";"1";"1";"1";"2";"3";"1";"1";"0";"1"
"Westerpark";"0";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0"
"healer";"2";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0"
"Hazeldonk";"1";"0";"2";"0";"6";"0";"1";"1";"0";"2";"5"
"Stone field";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0"
"Effen-Rith";"0";"1";"0";"2";"0";"2";"0";"0";"1";"1";"0"
"Liesbos";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0"
"Breda north-west";"8";"7";"4";"7";"3";"6";"2";"7";"4";"7";"5"
"Gageldonk";"0";"0";"1";"1";"1";"1";"0";"0";"1";"0";"1"
"Lapwing run";"1";"1";"1";"1";"2";"0";"0";"0";"1";"0";"0"
"Kesteren";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2"
"Muizenberg";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"1"
"Witch wheel";"2";"1";"0";"0";"0";"0";"1";"1";"0";"0";"1"
"overcropping";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"crout";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Emer";"2";"4";"1";"2";"0";"4";"1";"4";"2";"5";"0"
"Hagebeemd";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Bavel";"6";"3";"1";"0";"3";"0";"1";"1";"1";"3";"0"
"Bavel";"4";"0";"1";"0";"1";"0";"1";"0";"1";"1";"0"
"New Wolfslaar";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0"
"Outside area Bavel";"1";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Ulven wood";"1";"1";"1";"0";"0";"1";"1";"0";"0";"1";"2"
"Ulven wood";"1";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0"
"Outer area of ​​Ulvenhout";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"2"
"Prinsenbeek";"1";"0";"0";"1";"0";"0";"0";"1";"3";"0";"3"
"Prinsenbeek";"0";"0";"0";"1";"0";"0";"0";"1";"3";"0";"3"
"Outlying area Prinsenbeek";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Teterings";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"Teterings";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Vechtpolder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outer area of ​​Teteringen";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Bron: Politie"
