"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 1.2.4 Pickpocketing"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Bavel";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"New Wolfslaar";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Outside area Bavel";"2";"0";"2";"0";"1";"1";"0";"2";"0";"0";"6"
"Ulven wood";"3";"2";"2";"3";"1";"0";"1";"1";"2";"0";"0"
"Ulven wood";"3";"2";"2";"3";"1";"0";"1";"1";"2";"0";"0"
"Outer area of ​​Ulvenhout";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Prinsenbeek";"8";"10";"5";"6";"3";"5";"1";"5";"4";"0";"1"
"Prinsenbeek";"8";"10";"5";"5";"3";"5";"1";"5";"4";"0";"1"
"Outlying area Prinsenbeek";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Teterings";"0";"3";"2";"0";"1";"2";"0";"2";"0";"0";"1"
"Teterings";"0";"3";"2";"0";"1";"2";"0";"2";"0";"0";"1"
"Vechtpolder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outer area of ​​Teteringen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bron: Politie"
