"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 1.4.3 Open violence (person)"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Buoy lake";"1";"0";"0";"0";"0";"0";"1";"1";"0";"2";"0"
"Riders forest";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
"Breda west";"15";"5";"13";"16";"10";"8";"25";"10";"2";"22";"6"
"Haagpoort";"1";"1";"0";"1";"1";"1";"3";"0";"0";"0";"0"
"Hill";"2";"1";"3";"2";"5";"1";"3";"2";"1";"0";"1"
"Garden zigt";"6";"1";"0";"6";"1";"4";"7";"7";"1";"2";"2"
"Princenhage";"3";"1";"1";"0";"2";"1";"0";"0";"0";"0";"1"
"Westerpark";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1"
"healer";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Hazeldonk";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Stone field";"0";"0";"7";"7";"0";"1";"12";"1";"0";"20";"0"
"Effen-Rith";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Liesbos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda north-west";"6";"6";"3";"5";"1";"3";"3";"3";"2";"6";"2"
"Gageldonk";"0";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0"
"Lapwing run";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0"
"Kesteren";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Muizenberg";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Witch wheel";"2";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0"
"overcropping";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"crout";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Emer";"2";"3";"1";"5";"0";"1";"1";"0";"0";"6";"1"
"Hagebeemd";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bavel";"1";"1";"0";"3";"0";"0";"0";"0";"1";"0";"0"
"Bavel";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"New Wolfslaar";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Outside area Bavel";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Ulven wood";"1";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0"
"Ulven wood";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Outer area of ​​Ulvenhout";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0"
"Prinsenbeek";"3";"0";"1";"0";"0";"2";"1";"2";"1";"0";"6"
"Prinsenbeek";"2";"0";"1";"0";"0";"2";"1";"2";"1";"0";"6"
"Outlying area Prinsenbeek";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Teterings";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1"
"Teterings";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"1"
"Vechtpolder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outer area of ​​Teteringen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bron: Politie"
