"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 1.4.7 Robbery"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Hill";"2";"0";"0";"2";"2";"0";"1";"1";"0";"0";"0"
"Garden zigt";"2";"1";"2";"0";"2";"0";"1";"0";"0";"1";"1"
"Princenhage";"2";"1";"0";"3";"0";"0";"1";"0";"0";"1";"0"
"Westerpark";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"healer";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hazeldonk";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Stone field";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Effen-Rith";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Liesbos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda north-west";"3";"1";"5";"2";"5";"3";"2";"1";"0";"4";"2"
"Gageldonk";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Lapwing run";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"Kesteren";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"Muizenberg";"1";"0";"1";"1";"2";"0";"0";"0";"0";"3";"2"
"Witch wheel";"0";"0";"1";"0";"2";"2";"1";"0";"0";"1";"0"
"overcropping";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"crout";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Emer";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Hagebeemd";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bavel";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Bavel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"New Wolfslaar";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outside area Bavel";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Ulven wood";"1";"1";"2";"0";"1";"1";"1";"0";"0";"0";"0"
"Ulven wood";"1";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0"
"Outer area of ​​Ulvenhout";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Prinsenbeek";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Prinsenbeek";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Outlying area Prinsenbeek";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Teterings";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Teterings";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vechtpolder";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Outer area of ​​Teteringen";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bron: Politie"
