"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 2.1.1 Drugs/drink nuisance"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Hagebeemd";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bavel";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bavel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"New Wolfslaar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outside area Bavel";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ulven wood";"0";"2";"2";"1";"0";"0";"0";"0";"2";"0";"0"
"Ulven wood";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outer area of ​​Ulvenhout";"0";"2";"2";"1";"0";"0";"0";"0";"2";"0";"0"
"Prinsenbeek";"3";"2";"0";"1";"0";"1";"1";"0";"1";"2";"2"
"Prinsenbeek";"0";"1";"0";"1";"0";"1";"0";"0";"1";"2";"2"
"Outlying area Prinsenbeek";"3";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Teterings";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Teterings";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Vechtpolder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outer area of ​​Teteringen";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bron: Politie"
