"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 1.6.1 Fire/Explosion"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Blue Boulder";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Ypelaar";"3";"2";"1";"1";"1";"1";"2";"0";"3";"2";"0"
"Overakker";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Ginneken";"3";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Mastbos";"0";"1";"2";"0";"0";"0";"0";"0";"8";"0";"0"
"Breda south";"2";"4";"0";"0";"0";"0";"1";"0";"2";"0";"0"
"Buoy lake";"2";"2";"0";"0";"0";"0";"1";"0";"2";"0";"0"
"Riders forest";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda west";"11";"12";"8";"5";"6";"6";"3";"11";"30";"6";"17"
"Haagpoort";"0";"2";"1";"1";"0";"0";"1";"0";"3";"1";"1"
"Hill";"4";"7";"3";"1";"1";"1";"0";"5";"13";"0";"9"
"Garden zigt";"0";"1";"2";"2";"4";"1";"1";"1";"3";"3";"6"
"Princenhage";"5";"0";"1";"1";"0";"3";"1";"4";"11";"0";"1"
"Westerpark";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"healer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hazeldonk";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Stone field";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0"
"Effen-Rith";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Liesbos";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0"
"Breda north-west";"8";"13";"5";"5";"7";"6";"6";"3";"12";"5";"6"
"Gageldonk";"0";"2";"3";"0";"2";"1";"3";"2";"0";"2";"0"
"Lapwing run";"1";"1";"0";"0";"0";"2";"1";"0";"4";"0";"1"
"Kesteren";"2";"1";"0";"1";"3";"0";"0";"0";"1";"2";"0"
"Muizenberg";"1";"4";"0";"1";"0";"0";"0";"0";"3";"0";"1"
"Witch wheel";"1";"2";"0";"2";"1";"0";"0";"0";"2";"0";"0"
"overcropping";"3";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"crout";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Emer";"0";"2";"0";"1";"0";"1";"2";"1";"2";"1";"4"
"Hagebeemd";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Bavel";"0";"0";"0";"0";"0";"1";"1";"1";"1";"2";"0"
"Bavel";"0";"0";"0";"0";"0";"1";"1";"1";"1";"2";"0"
"New Wolfslaar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outside area Bavel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ulven wood";"1";"0";"1";"0";"0";"2";"0";"0";"3";"0";"1"
"Ulven wood";"1";"0";"1";"0";"0";"2";"0";"0";"3";"0";"1"
"Outer area of ​​Ulvenhout";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Prinsenbeek";"1";"1";"1";"1";"0";"0";"2";"2";"3";"0";"0"
"Prinsenbeek";"1";"1";"1";"1";"0";"0";"1";"2";"3";"0";"0"
"Outlying area Prinsenbeek";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Teterings";"2";"1";"0";"2";"1";"0";"1";"0";"3";"0";"1"
"Teterings";"2";"1";"0";"1";"1";"0";"1";"0";"2";"0";"1"
"Vechtpolder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outer area of ​​Teteringen";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Bron: Politie"
