"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 2.5.2 Shoplifting"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Breda south-east";"17";"27";"29";"32";"39";"28";"21";"14";"19";"35";"45"
"Blue Boulder";"6";"9";"11";"8";"8";"4";"2";"3";"4";"6";"3"
"Ypelaar";"7";"9";"13";"20";"28";"24";"16";"11";"11";"28";"41"
"Overakker";"0";"1";"0";"2";"1";"0";"0";"0";"3";"1";"0"
"Ginneken";"4";"8";"5";"2";"2";"0";"3";"0";"1";"0";"1"
"Mastbos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda south";"0";"2";"5";"5";"3";"2";"1";"0";"0";"2";"0"
"Buoy lake";"0";"2";"5";"5";"3";"2";"0";"0";"0";"2";"0"
"Riders forest";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Breda west";"175";"166";"143";"133";"102";"92";"99";"115";"81";"94";"80"
"Haagpoort";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Hill";"1";"0";"22";"24";"24";"25";"20";"17";"18";"25";"24"
"Garden zigt";"39";"54";"37";"13";"14";"14";"9";"13";"9";"29";"10"
"Princenhage";"16";"9";"12";"8";"11";"5";"8";"11";"9";"11";"7"
"Westerpark";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"healer";"107";"72";"45";"50";"21";"29";"40";"56";"28";"12";"19"
"Hazeldonk";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0"
"Stone field";"12";"31";"27";"37";"32";"19";"21";"18";"17";"16";"20"
"Effen-Rith";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Liesbos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda north-west";"19";"24";"11";"20";"19";"10";"11";"15";"11";"7";"9"
"Gageldonk";"3";"6";"3";"5";"5";"4";"2";"4";"2";"3";"3"
"Lapwing run";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
"Kesteren";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"Muizenberg";"9";"4";"1";"2";"0";"1";"0";"4";"0";"0";"0"
"Witch wheel";"5";"11";"6";"9";"13";"2";"7";"5";"7";"3";"6"
"overcropping";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"crout";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Emer";"2";"3";"1";"3";"0";"3";"2";"1";"0";"1";"0"
"Hagebeemd";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bavel";"7";"12";"6";"9";"10";"10";"3";"4";"1";"10";"10"
"Bavel";"7";"12";"6";"9";"10";"10";"3";"4";"1";"10";"10"
"New Wolfslaar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outside area Bavel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ulven wood";"1";"8";"7";"4";"1";"5";"3";"3";"3";"6";"9"
"Ulven wood";"1";"8";"7";"4";"1";"5";"3";"3";"3";"6";"9"
"Outer area of ​​Ulvenhout";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Prinsenbeek";"3";"7";"4";"6";"9";"1";"2";"4";"5";"5";"3"
"Prinsenbeek";"3";"7";"4";"6";"9";"0";"2";"4";"5";"5";"3"
"Outlying area Prinsenbeek";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Teterings";"0";"1";"2";"1";"1";"0";"2";"8";"2";"0";"3"
"Teterings";"0";"1";"2";"1";"1";"0";"2";"8";"2";"0";"3"
"Vechtpolder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outer area of ​​Teteringen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bron: Politie"
