"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 1.1.1 Home theft/burglary"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"New Wolfslaar";"7";"8";"4";"3";"6";"3";"5";"2";"0";"0";"2"
"Outside area Bavel";"11";"10";"8";"3";"1";"1";"3";"1";"0";"1";"1"
"Ulven wood";"44";"56";"40";"40";"17";"18";"21";"25";"18";"21";"7"
"Ulven wood";"41";"55";"38";"36";"16";"18";"20";"23";"18";"20";"7"
"Outer area of ​​Ulvenhout";"3";"1";"2";"4";"1";"0";"1";"2";"0";"1";"0"
"Prinsenbeek";"83";"52";"57";"33";"30";"31";"26";"19";"11";"12";"8"
"Prinsenbeek";"78";"42";"49";"28";"29";"29";"26";"15";"10";"9";"8"
"Outlying area Prinsenbeek";"5";"10";"8";"5";"1";"2";"0";"4";"1";"3";"0"
"Teterings";"62";"37";"32";"41";"19";"17";"18";"19";"12";"8";"5"
"Teterings";"54";"36";"28";"37";"18";"16";"17";"18";"12";"7";"4"
"Vechtpolder";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0"
"Outer area of ​​Teteringen";"8";"1";"3";"3";"1";"1";"1";"0";"0";"1";"1"
"Bron: Politie"
