"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: Total felonies"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Mill end east";"48";"49";"28";"25";"42";"52";"33";"26";"34";"29";"24"
"High end";"43";"49";"46";"40";"47";"83";"96";"80";"63";"75";"81"
"Breda south-east";"1068";"1042";"1026";"1003";"929";"881";"764";"850";"840";"843";"750"
"Blue Boulder";"208";"211";"195";"217";"212";"161";"123";"154";"149";"144";"124"
"Ypelaar";"330";"272";"310";"261";"257";"264";"268";"266";"262";"290";"265"
"Overakker";"117";"143";"115";"97";"110";"119";"93";"124";"97";"73";"99"
"Ginneken";"330";"332";"296";"317";"269";"236";"199";"227";"226";"239";"181"
"Mastbos";"83";"84";"110";"111";"81";"101";"81";"79";"106";"97";"81"
"Breda south";"752";"687";"583";"493";"517";"440";"361";"391";"441";"412";"371"
"Buoy lake";"511";"456";"390";"327";"387";"282";"230";"249";"288";"238";"241"
"Riders forest";"241";"231";"193";"166";"130";"158";"131";"142";"153";"174";"130"
"Breda west";"3500";"2959";"2522";"2569";"2404";"2136";"2015";"2027";"2205";"2035";"2051"
"Haagpoort";"189";"172";"126";"115";"105";"85";"99";"81";"119";"118";"125"
"Hill";"695";"506";"566";"556";"518";"479";"440";"400";"457";"423";"421"
"Garden zigt";"762";"753";"618";"570";"548";"498";"429";"495";"437";"402";"482"
"Princenhage";"816";"574";"406";"452";"410";"321";"336";"351";"400";"280";"302"
"Westerpark";"159";"151";"125";"127";"124";"119";"85";"99";"104";"109";"125"
"healer";"330";"278";"230";"206";"224";"183";"187";"205";"194";"115";"131"
"Hazeldonk";"273";"215";"175";"181";"162";"161";"124";"136";"229";"279";"213"
"Stone field";"120";"166";"169";"263";"219";"175";"202";"160";"154";"171";"133"
"Effen-Rith";"88";"64";"58";"51";"49";"54";"40";"40";"51";"65";"44"
"Liesbos";"68";"80";"49";"48";"45";"61";"73";"60";"60";"73";"75"
"Breda north-west";"1625";"1602";"1400";"1366";"1256";"1214";"1229";"1313";"1291";"1082";"950"
"Gageldonk";"240";"211";"218";"203";"211";"184";"250";"178";"216";"160";"138"
"Lapwing run";"225";"187";"155";"173";"152";"142";"110";"181";"154";"116";"109"
"Kesteren";"269";"277";"289";"293";"222";"191";"181";"194";"202";"186";"156"
"Muizenberg";"182";"223";"157";"134";"109";"156";"116";"131";"147";"107";"97"
"Witch wheel";"251";"253";"171";"162";"208";"152";"149";"133";"162";"135";"99"
"overcropping";"112";"113";"79";"94";"77";"77";"76";"70";"74";"54";"49"
"crout";"51";"56";"44";"48";"46";"49";"41";"54";"57";"37";"29"
"Emer";"264";"255";"238";"233";"215";"250";"303";"363";"263";"275";"260"
"Hagebeemd";"31";"27";"49";"26";"16";"13";"3";"9";"16";"12";"13"
"Bavel";"353";"311";"270";"271";"266";"220";"207";"194";"227";"236";"241"
"Bavel";"252";"211";"169";"163";"161";"130";"127";"100";"125";"142";"125"
"New Wolfslaar";"44";"41";"60";"61";"60";"38";"40";"34";"53";"55";"46"
"Outside area Bavel";"57";"59";"41";"47";"45";"52";"40";"60";"49";"39";"70"
"Ulven wood";"225";"225";"174";"176";"136";"169";"154";"145";"181";"231";"144"
"Ulven wood";"192";"193";"146";"152";"103";"137";"104";"109";"132";"156";"96"
"Outer area of ​​Ulvenhout";"33";"32";"28";"24";"33";"32";"50";"36";"49";"75";"48"
"Prinsenbeek";"478";"452";"415";"360";"309";"266";"314";"324";"343";"304";"271"
"Prinsenbeek";"442";"383";"370";"317";"272";"236";"280";"287";"294";"264";"252"
"Outlying area Prinsenbeek";"36";"69";"45";"43";"37";"30";"34";"37";"49";"40";"19"
"Teterings";"335";"262";"262";"224";"244";"187";"189";"201";"223";"159";"180"
"Teterings";"304";"228";"244";"197";"226";"172";"169";"185";"212";"148";"165"
"Vechtpolder";"9";"11";"5";"9";"7";"2";"7";"10";"3";"2";"3"
"Outer area of ​​Teteringen";"22";"23";"13";"18";"11";"13";"13";"6";"8";"9";"12"
"Bron: Politie"
