"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 3.1.1 Drug trafficking"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Overakker";"0";"0";"0";"1";"0";"1";"5";"3";"1";"0";"0"
"Ginneken";"1";"3";"2";"4";"4";"2";"0";"1";"1";"0";"3"
"Mastbos";"1";"0";"1";"6";"3";"3";"5";"2";"4";"5";"3"
"Breda south";"14";"7";"9";"0";"5";"6";"8";"6";"17";"17";"7"
"Buoy lake";"6";"4";"5";"0";"3";"1";"5";"3";"6";"3";"4"
"Riders forest";"8";"3";"4";"0";"2";"5";"3";"3";"11";"14";"3"
"Breda west";"128";"99";"75";"72";"57";"63";"59";"57";"65";"63";"50"
"Haagpoort";"6";"2";"1";"4";"3";"0";"7";"1";"3";"2";"0"
"Hill";"13";"10";"7";"9";"13";"16";"11";"14";"10";"8";"2"
"Garden zigt";"32";"26";"16";"11";"14";"12";"11";"18";"8";"7";"18"
"Princenhage";"9";"10";"10";"7";"10";"6";"2";"5";"9";"9";"2"
"Westerpark";"5";"1";"1";"1";"0";"4";"1";"2";"1";"0";"3"
"healer";"5";"2";"3";"2";"7";"7";"5";"5";"2";"4";"3"
"Hazeldonk";"41";"39";"31";"21";"7";"10";"13";"9";"18";"27";"15"
"Stone field";"3";"2";"3";"7";"1";"2";"3";"1";"6";"0";"2"
"Effen-Rith";"7";"1";"1";"6";"1";"4";"3";"1";"5";"4";"4"
"Liesbos";"7";"6";"2";"4";"1";"2";"3";"1";"3";"2";"1"
"Breda north-west";"48";"59";"81";"45";"47";"42";"50";"68";"46";"45";"29"
"Gageldonk";"1";"0";"8";"5";"4";"6";"14";"6";"7";"7";"2"
"Lapwing run";"3";"5";"4";"1";"0";"2";"1";"4";"1";"1";"1"
"Kesteren";"6";"7";"6";"1";"5";"3";"3";"7";"6";"8";"2"
"Muizenberg";"8";"5";"9";"4";"3";"1";"2";"1";"5";"0";"1"
"Witch wheel";"3";"2";"7";"3";"5";"3";"1";"1";"0";"0";"1"
"overcropping";"0";"1";"0";"2";"1";"1";"2";"1";"2";"0";"0"
"crout";"0";"0";"1";"0";"0";"0";"1";"2";"1";"0";"0"
"Emer";"22";"34";"21";"18";"27";"26";"26";"46";"24";"29";"21"
"Hagebeemd";"5";"5";"25";"11";"2";"0";"0";"0";"0";"0";"1"
"Bavel";"3";"2";"2";"4";"4";"2";"2";"7";"2";"3";"3"
"Bavel";"3";"2";"0";"2";"1";"0";"0";"0";"1";"3";"0"
"New Wolfslaar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outside area Bavel";"0";"0";"2";"2";"3";"2";"2";"7";"1";"0";"3"
"Ulven wood";"5";"2";"6";"3";"2";"2";"1";"10";"8";"8";"6"
"Ulven wood";"1";"1";"2";"1";"0";"0";"0";"3";"4";"0";"2"
"Outer area of ​​Ulvenhout";"4";"1";"4";"2";"2";"2";"1";"7";"4";"8";"4"
"Prinsenbeek";"6";"16";"7";"4";"4";"3";"9";"7";"9";"8";"6"
"Prinsenbeek";"3";"9";"5";"3";"4";"2";"4";"4";"6";"7";"5"
"Outlying area Prinsenbeek";"3";"7";"2";"1";"0";"1";"5";"3";"3";"1";"1"
"Teterings";"2";"5";"1";"1";"3";"6";"3";"1";"1";"2";"0"
"Teterings";"2";"5";"1";"1";"3";"6";"3";"1";"1";"2";"0"
"Vechtpolder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outer area of ​​Teteringen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bron: Politie"
